3901	8586	0.0668
978	8251	0.660066
978	5821	0.742574
7085	7244	0.868403
7085	7379	0.868403
1987	8736	0.877193
1987	5821	0.956938
1190	9569	1.002004
7085	9569	1.002004
7244	7379	1.068804
8915	8940	1.068804
3901	8551	1.075269
7085	7346	1.135605
7346	7375	1.135605
7346	9569	1.135605
8551	8586	1.152074
1190	7346	1.202405
2485	8940	1.202405
7375	9569	1.202405
978	1987	1.237624
1190	7085	1.269205
1190	7375	1.269205
7346	7379	1.269205
1987	9569	1.275917
2682	9569	1.275917
7085	7375	1.336005
2485	8772	1.337557
1190	2682	1.355662
1987	7085	1.355662
5821	8251	1.40264
7379	9569	1.402806
1987	8940	1.435407
2682	7085	1.435407
8551	8736	1.459293
7244	7346	1.469606
7244	9569	1.469606
